ID,NAME,income
361,"Census Tract 150, San Diego County, California",70491
362,"Census Tract 151, San Diego County, California",75282
363,"Census Tract 152, San Diego County, California",111625
364,"Census Tract 153.01, San Diego County, California",63315
365,"Census Tract 153.02, San Diego County, California",98935
366,"Census Tract 154.03, San Diego County, California",114583
367,"Census Tract 154.04, San Diego County, California",56341
368,"Census Tract 154.05, San Diego County, California",102474
369,"Census Tract 154.06, San Diego County, California",134118
370,"Census Tract 155.01, San Diego County, California",83346
371,"Census Tract 155.02, San Diego County, California",102333
372,"Census Tract 156.01, San Diego County, California",68158
373,"Census Tract 156.02, San Diego County, California",113750
374,"Census Tract 157.01, San Diego County, California",32746
375,"Census Tract 157.03, San Diego County, California",25720
376,"Census Tract 157.04, San Diego County, California",48456
377,"Census Tract 158.01, San Diego County, California",35668
378,"Census Tract 158.02, San Diego County, California",47687
379,"Census Tract 159.01, San Diego County, California",42989
380,"Census Tract 159.02, San Diego County, California",53286
381,"Census Tract 160, San Diego County, California",75142
382,"Census Tract 161, San Diego County, California",88898
383,"Census Tract 162.01, San Diego County, California",95170
384,"Census Tract 162.02, San Diego County, California",56477
385,"Census Tract 163.01, San Diego County, California",39450
386,"Census Tract 163.02, San Diego County, California",38750
387,"Census Tract 164.01, San Diego County, California",80655
388,"Census Tract 164.02, San Diego County, California",47576
389,"Census Tract 165.02, San Diego County, California",42875
390,"Census Tract 165.03, San Diego County, California",69063
391,"Census Tract 165.04, San Diego County, California",48170
392,"Census Tract 166.05, San Diego County, California",61875
393,"Census Tract 166.06, San Diego County, California",105024
394,"Census Tract 166.07, San Diego County, California",87500
395,"Census Tract 166.08, San Diego County, California",99891
396,"Census Tract 166.09, San Diego County, California",91384
397,"Census Tract 166.10, San Diego County, California",86813
398,"Census Tract 166.12, San Diego County, California",94621
399,"Census Tract 166.13, San Diego County, California",97019
400,"Census Tract 166.14, San Diego County, California",93889
401,"Census Tract 166.15, San Diego County, California",98077
402,"Census Tract 166.16, San Diego County, California",67917
403,"Census Tract 166.17, San Diego County, California",58750
404,"Census Tract 167.01, San Diego County, California",84071
405,"Census Tract 167.02, San Diego County, California",62477
406,"Census Tract 168.02, San Diego County, California",76210
407,"Census Tract 168.04, San Diego County, California",71737
408,"Census Tract 168.06, San Diego County, California",61310
409,"Census Tract 168.07, San Diego County, California",82269
410,"Census Tract 168.09, San Diego County, California",93500
411,"Census Tract 168.10, San Diego County, California",86442
412,"Census Tract 168.11, San Diego County, California",71250
413,"Census Tract 169.01, San Diego County, California",90859
414,"Census Tract 169.02, San Diego County, California",93750
415,"Census Tract 170.06, San Diego County, California",142546
416,"Census Tract 170.09, San Diego County, California",85556
417,"Census Tract 170.10, San Diego County, California",120833
418,"Census Tract 170.14, San Diego County, California",58465
419,"Census Tract 170.15, San Diego County, California",88338
420,"Census Tract 170.18, San Diego County, California",64353
421,"Census Tract 170.19, San Diego County, California",81535
422,"Census Tract 170.20, San Diego County, California",140804
423,"Census Tract 170.21, San Diego County, California",141071
424,"Census Tract 170.22, San Diego County, California",93958
425,"Census Tract 170.29, San Diego County, California",172554
426,"Census Tract 170.30, San Diego County, California",146299
427,"Census Tract 170.31, San Diego County, California",96211
428,"Census Tract 170.32, San Diego County, California",132622
429,"Census Tract 170.33, San Diego County, California",143846
430,"Census Tract 170.34, San Diego County, California",126024
431,"Census Tract 170.35, San Diego County, California",76346
432,"Census Tract 170.36, San Diego County, California",111250
433,"Census Tract 170.37, San Diego County, California",100656
434,"Census Tract 170.39, San Diego County, California",104926
435,"Census Tract 170.40, San Diego County, California",128563
436,"Census Tract 170.41, San Diego County, California",108036
437,"Census Tract 170.42, San Diego County, California",127869
438,"Census Tract 170.43, San Diego County, California",121719
439,"Census Tract 170.44, San Diego County, California",139924
440,"Census Tract 170.45, San Diego County, California",154079
441,"Census Tract 170.46, San Diego County, California",127321
442,"Census Tract 170.47, San Diego County, California",141875
443,"Census Tract 170.48, San Diego County, California",62218
444,"Census Tract 170.49, San Diego County, California",97000
445,"Census Tract 170.50, San Diego County, California",68372
446,"Census Tract 170.51, San Diego County, California",97309
447,"Census Tract 170.52, San Diego County, California",96839
448,"Census Tract 170.53, San Diego County, California",149391
449,"Census Tract 170.54, San Diego County, California",105588
450,"Census Tract 170.55, San Diego County, California",126688
451,"Census Tract 170.56, San Diego County, California",107639
452,"Census Tract 171.04, San Diego County, California",113281
453,"Census Tract 171.06, San Diego County, California",113574
454,"Census Tract 171.07, San Diego County, California",176635
455,"Census Tract 171.08, San Diego County, California",120208
456,"Census Tract 171.09, San Diego County, California",164327
457,"Census Tract 171.10, San Diego County, California",146518
458,"Census Tract 172, San Diego County, California",110625
459,"Census Tract 173.03, San Diego County, California",162500
460,"Census Tract 173.04, San Diego County, California",85781
461,"Census Tract 173.05, San Diego County, California",110373
